word,tag,number
فرانكفورت,B-LOC,1
(د,B-ORG,2
ب,I-ORG,3
أ),I-ORG,4
أعلن,O,5
اتحاد,B-ORG,6
صناعة,I-ORG,7
السيارات,I-ORG,8
في,O,9
ألمانيا,B-LOC,10
امس,O,11
الاول,O,12
أن,O,13
شركات,O,14
صناعة,O,15
السيارات,O,16
في,O,17
ألمانيا,B-LOC,18
تواجه,O,19
عاما,O,20
صعبا,O,21
في,O,22
ظل,O,23
ركود,O,24
السوق,O,25
الداخلية,O,26
والصادرات,O,27
وهي,O,28
تسعي,O,29
لان,O,30
يبلغ,O,31
الانتاج,O,32
حوالي,O,33
خمسة,O,34
ملايين,O,35
سيارة,O,36
في,O,37
عام,O,38
2002,O,39
.,O,40
وقال,O,42
رئيس,O,43
الاتحاد,O,44
برند,B-PERS,45
جوتشولك,I-PERS,46
عند,O,47
إعلان,O,48
آخر,O,49
تقرير,O,50
سنوي,O,51
للاتحاد,O,52
إن,O,53
مستقبل,O,54
السوق,O,55
مازال,O,56
يفتقر,O,57
إلي,O,58
الخطوط,O,59
الواضحة,O,60
.,O,61
وعلي,O,63
الرغم,O,64
من,O,65
أنه,O,66
قال,O,67
أنه,O,68
يتوقع,O,69
أن,O,70
تظل,O,71
صادرات,O,72
السيارات,O,73
عند,O,74
مستوي,O,75
مرتفع,O,76
هذا,O,77
العام,O,78
فإنه,O,79
يبدو,O,80
من,O,81
غير,O,82
المحتمل,O,83
أن,O,84
تصل,O,85
إلي,O,86
مستوي,O,87
سجل,O,88
نموها,O,89
عام,O,90
2001,O,91
عندما,O,92
زادت,O,93
صادرات,O,94
سيارات,O,95
الركاب,O,96
بنسبة,O,97
ستة,O,98
في,O,99
المائة,O,100
لتصل,O,101
إلي,O,102
6.3,O,103
مليون,O,104
سيارة,O,105
.,O,106
ورأي,O,108
جوتشولك,B-PERS,109
أنه,O,110
يتعين,O,111
أن,O,112
يبلغ,O,113
الحجم,O,114
الاجمالي,O,115
لصادرات,O,116
السيارات,O,117
هذا,O,118
العام,O,119
حوالي,O,120
4.3,O,121
مليون,O,122
سيارة,O,123
.,O,124
وأضاف,O,126
قائلا,O,127
نادرا,O,128
ما,O,129
كان,O,130
من,O,131
الصعب,O,132
التكهن,O,133
بالنسبة,O,134
لعام,O,135
جار,O,136
بالفعل,O,137
مثلما,O,138
هو,O,139
الحالالان,O,140
.,O,141
وقال,O,143
أنه,O,144
يتعين,O,145
أن,O,146
يصل,O,147
عدد,O,148
السيارات,O,149
الجديدة,O,150
في,O,151
ألمانيا,B-LOC,152
هذا,O,153
العام,O,154
إلي,O,155
حوالي,O,156
2.3,O,157
مليون,O,158
سيارة,O,159
بالمقارنة,O,160
بـ34.3,O,161
مليون,O,162
سيارة,O,163
في,O,164
العام,O,165
الماضي,O,166
.,O,167
وعلي,O,169
الرغم,O,170
من,O,171
أن,O,172
جوتشولك,B-PERS,173
تكهن,O,174
بأن,O,175
شركات,O,176
صناعة,O,177
السيارات,O,178
في,O,179
ألمانيا,B-LOC,180
سوف,O,181
تنتج,O,182
حوالي,O,183
خمس,O,184
ملايين,O,185
سيارة,O,186
في,O,187
الشهور,O,188
الاثني,O,189
عشر,O,190
القادمة,O,191
فإن,O,192
هذا,O,193
يقل,O,194
عن,O,195
مستوي,O,196
إنتاج,O,197
العام,O,198
الماضي,O,199
الذي,O,200
بلغ,O,201
3.5,O,202
مليون,O,203
سيارة,O,204
ركاب,O,205
.,O,206
وقال,O,208
أن,O,209
مستوي,O,210
إنتاج,O,211
عام,O,212
2001,O,213
كان,O,214
ثالث,O,215
أفضل,O,216
نتيجة,O,217
في,O,218
تاريخ,O,219
أهم,O,220
